instance,pn,pm,tw,tw_lb,minseps,pmcs,iters,time,time_sat,time_bt
pace16tw_fuzix_clock_gettime_clock_gettime,0,0,2,-1,0,0,0,0.01,0.00,0.00
pace16tw_fuzix_clock_gettime_div10quickm,0,0,1,-1,0,0,0,0.01,0.00,0.00
pace16tw_fuzix_clock_settime_clock_settime,0,0,2,-1,0,0,0,0.03,0.00,0.00
pace16tw_fuzix_devf_fd_transfer,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_devio_bfind,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_devio_kprintf,0,0,3,-1,0,0,0,0.03,0.00,0.00
pace16tw_fuzix_difftime_difftime,0,0,1,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_fgets_fgets,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_filesys_filename,0,0,3,-1,0,0,0,0.03,0.00,0.00
pace16tw_fuzix_filesys_getinode,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_filesys_i_open,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_filesys_newfstab,0,0,2,-1,0,0,0,0.01,0.00,0.00
pace16tw_fuzix_filesys_srch_mt,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_gethostname_gethostname,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_getpass__gets,0,0,3,-1,0,0,0,0.01,0.00,0.00
pace16tw_fuzix_inode_rwsetup,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_malloc___insert_chunk,0,0,3,-1,0,0,0,0.01,0.00,0.00
pace16tw_fuzix_nanosleep_clock_nanosleep,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_process_getproc,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_qsort__lqsort,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_ran_rand,0,0,2,-1,0,0,0,0.01,0.00,0.00
pace16tw_fuzix_readdir_readdir,0,0,3,-1,0,0,0,0.01,0.00,0.00
pace16tw_fuzix_regexp_regcomp,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_setbuffer_setbuffer,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_setenv_setenv,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_se_ycomp,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_fuzix_stat_statfix,0,0,1,-1,0,0,0,0.01,0.00,0.00
pace16tw_fuzix_syscall_fs2_chown_op,0,0,2,-1,0,0,0,0.01,0.00,0.00
